PdfSize,MetadataSize,Pages,XrefLength,TitleCharacters,isEncrypted,EmbeddedFiles,Images,Text,Header,Obj,Endobj,Stream,Endstream,Xref,Trailer,StartXref,PageNo,ObjStm,JS,Javascript,AA,OpenAction,Acroform,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,Colors,JSExec,AutoExec,FileDrop,ShellExec,ExploitAttempt,label,filename,filepath
1098067,283,11,1294,0,0,1,124,1,1.5,20,0,0,0,1,0,0,11,2,2,2,1,1,0,0,0,1,0,0,0,0,1,1,1,1,malicious,028d311e5c1592bc4665d4d9f1744aabf429ee79be2ceb1a18d55b6935e1e5fa.pdf,dataset/malicious\028d311e5c1592bc4665d4d9f1744aabf429ee79be2ceb1a18d55b6935e1e5fa.pdf
11565,180,5,88,0,0,0,0,1,1.4,0,0,0,0,0,0,0,5,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,malicious,09118118431013cac19f5c5aa2f10cfba10f6660fc2647239d370437e34265d0.pdf,dataset/malicious\09118118431013cac19f5c5aa2f10cfba10f6660fc2647239d370437e34265d0.pdf
31354,336,3,24,9,0,0,3,1,1.7,0,0,0,0,0,0,0,3,0,7,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,malicious,0912898105816c5db83e754e8a0eb0e9727949698ef5acbc7e8d4c76c7f5f4f2.pdf,dataset/malicious\0912898105816c5db83e754e8a0eb0e9727949698ef5acbc7e8d4c76c7f5f4f2.pdf
7785,180,1,17,0,0,0,0,0,.3,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,malicious,118b91b389d8e8d1a65bf2c00f3f66d743d590273c1177a60eab6bfd12c4651b.pdf,dataset/malicious\118b91b389d8e8d1a65bf2c00f3f66d743d590273c1177a60eab6bfd12c4651b.pdf
42485,413,2,52,34,0,0,1,1,1.4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,malicious,1468734132103ccf1c3023ef60ee24be64334657e570b579a5759af1e92ff1d0.pdf,dataset/malicious\1468734132103ccf1c3023ef60ee24be64334657e570b579a5759af1e92ff1d0.pdf
190275,277,1,34,0,0,0,2,0,1.7,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,malicious,1512675150191bbe7d3eb3deaab03d835e38f87dd9463676a2f76ae6bd4fe628.pdf,dataset/malicious\1512675150191bbe7d3eb3deaab03d835e38f87dd9463676a2f76ae6bd4fe628.pdf
396936,301,34,187,29,0,0,0,1,"1.4%",0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,02eounrel.pdf,dataset/benign\02eounrel.pdf
250800,304,29,243,24,0,0,0,1,"1.6%",0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,02frrltr.pdf,dataset/benign\02frrltr.pdf
246975,309,34,237,31,0,0,0,1,"1.4%",0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,02govbnd.pdf,dataset/benign\02govbnd.pdf
367605,375,59,212,31,0,0,0,1,"1.2 %",0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,02solp.pdf,dataset/benign\02solp.pdf
32782,450,5,42,62,0,0,0,1,"1.4%",0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,benign,030.pdf,dataset/benign\030.pdf
67683,435,4,246,68,0,0,0,1,"1.4%",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,031mandelson.pdf,dataset/benign\031mandelson.pdf
66789,453,2,55,62,0,0,9,0,"1.4%",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,032.pdf,dataset/benign\032.pdf
14845,450,4,28,62,0,0,0,1,"1.4%",0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,benign,033.pdf,dataset/benign\033.pdf
15797,450,3,25,62,0,0,0,1,"1.4%",0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,benign,036.pdf,dataset/benign\036.pdf
170338,325,12,280,48,0,0,0,1,"1.6%",0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,benign,03herman.pdf,dataset/benign\03herman.pdf
