PdfSize,MetadataSize,Pages,XrefLength,TitleCharacters,isEncrypted,EmbeddedFiles,Images,Text,Header,Obj,Endobj,Stream,Endstream,Xref,Trailer,StartXref,PageNo,ObjStm,JS,Javascript,AA,OpenAction,Acroform,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,Colors,JSExec,AutoExec,FileDrop,ShellExec,ExploitAttempt,label,filename,filepath
103775,283,1,27,0,0,0,9,0,"1.7%",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,benign,aparther.pdf,dataset/benign\aparther.pdf
57748,273,1,66,0,0,0,0,1,"1.6%",0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,92appj.pdf,dataset/benign\92appj.pdf
83634,283,1,27,0,0,0,9,0,"1.7%",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,benign,atechllc.pdf,dataset/benign\atechllc.pdf
110633,283,1,49,0,0,0,31,0,"1.7%",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,benign,bluegolf.pdf,dataset/benign\bluegolf.pdf
16575,306,1,26,13,0,0,0,1,"1.4%",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,07cofiges.pdf,dataset/benign\07cofiges.pdf
157158,620,1,136,11,0,0,1,1,"1.7%",0,0,0,0,2,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,benign,adult_haven.pdf,dataset/benign\adult_haven.pdf
87286,262,1,21,0,0,0,1,0,1.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,bigthink.pdf,dataset/benign\bigthink.pdf
98764,283,1,35,0,0,0,17,0,"1.7%",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,benign,bottlerock.pdf,dataset/benign\bottlerock.pdf
82190,283,1,25,0,0,0,7,0,"1.7%",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,benign,bnienter.pdf,dataset/benign\bnienter.pdf
24716,408,2,34,11,0,0,1,1,"1.5%",0,0,0,0,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,aod201006.pdf,dataset/benign\aod201006.pdf
101445,305,19,659,17,0,0,0,1,"1.4%",33,0,0,0,1,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,annual_report_to_congress_fy_2010.pdf,dataset/benign\annual_report_to_congress_fy_2010.pdf
250504,435,40,153,31,0,0,0,1,"1.2 %",0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,99pftar.pdf,dataset/benign\99pftar.pdf
99371,283,1,26,0,0,0,8,0,"1.7%",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,benign,boardgam.pdf,dataset/benign\boardgam.pdf
36887,253,11,54,12,0,0,0,1,"1.2 %",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,1436_00.pdf,dataset/benign\1436_00.pdf
263020,273,1,94,0,0,0,1,1,"1.5%",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,08pfsnap.pdf,dataset/benign\08pfsnap.pdf
78874,262,1,21,0,0,0,1,0,1.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,bluwallc.pdf,dataset/benign\bluwallc.pdf
86653,283,1,32,0,0,0,14,0,"1.7%",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,benign,alexrandol.pdf,dataset/benign\alexrandol.pdf
227816,418,1,13,62,0,0,1,0,"1.4%",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,041.pdf,dataset/benign\041.pdf
87984,283,1,30,0,0,0,12,0,"1.7%",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,benign,arperfo.pdf,dataset/benign\arperfo.pdf
15363,290,1,26,9,0,0,0,1,1.3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,benign,Brandon_Harter.pdf,dataset/benign\Brandon_Harter.pdf
27821,298,1,12,0,0,0,1,0,"1.3%",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,bolt.pdf,dataset/benign\bolt.pdf
71262,283,1,22,0,0,0,4,0,"1.7%",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,benign,balcimh.pdf,dataset/benign\balcimh.pdf
180816,304,2,73,0,0,0,0,1,1.4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,benign,76fr5213.pdf,dataset/benign\76fr5213.pdf
176513,425,1,128,8,0,0,1,1,"1.7%",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,benign,appdillo.pdf,dataset/benign\appdillo.pdf
64124,451,2,167,75,0,0,0,1,"1.4%",4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,68fr19966.pdf,dataset/benign\68fr19966.pdf
141917,290,3,110,0,0,0,3,1,"1.4%",0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,benign,2011_ovdi_field_directive_memo_signed.pdf,dataset/benign\2011_ovdi_field_directive_memo_signed.pdf
19067,295,3,39,7,0,0,0,1,"1.2%",0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,benign,a-00-77.pdf,dataset/benign\a-00-77.pdf
16501,325,3,69,35,0,0,0,1,"1.4%",0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,a-08-84.pdf,dataset/benign\a-08-84.pdf
100167,273,6,97,0,0,0,0,1,"1.6%",0,0,0,0,2,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,92appb.pdf,dataset/benign\92appb.pdf
213565,713,1,145,12,0,0,1,1,"1.7%",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,benign,bloomberg_lp.pdf,dataset/benign\bloomberg_lp.pdf
192981,304,15,114,0,0,0,0,1,1.4,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,benign,2011-7573.pdf,dataset/benign\2011-7573.pdf
342705,210,4,32,0,0,0,12,0,1.3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,1233025.pdf,dataset/benign\1233025.pdf
22546,307,2,36,8,0,0,0,1,1.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign,69fr69822.pdf,dataset/benign\69fr69822.pdf
